Model,Test Accuracy,Training Time (seconds)
Simple RNN,0.7480263113975525,297.99809432029724
LSTM,0.9049999713897705,538.7103078365326
GRU,0.9142104983329773,484.4748578071594
Bi-LSTM,0.9082894921302795,714.5242116451263
